"","region","country","indicator","input","date"
"357","Asia-Pacific","Cook Islands","Ratification of Optional Protocol (OPCAT)","No",NA
"358","Asia-Pacific","Fiji","Ratification of Optional Protocol (OPCAT)","No",NA
"359","Asia-Pacific","Democratic People's Republic of Korea","Ratification of Optional Protocol (OPCAT)","No",NA
"360","Asia-Pacific","India","Ratification of Optional Protocol (OPCAT)","No",NA
"361","Asia-Pacific","Indonesia","Ratification of Optional Protocol (OPCAT)","No",NA
"362","Asia-Pacific","Japan","Ratification of Optional Protocol (OPCAT)","No",NA
"363","Asia-Pacific","Kazakhstan","Ratification of Optional Protocol (OPCAT)","Yes",2008
"364","Asia-Pacific","Kiribati","Ratification of Optional Protocol (OPCAT)","No",NA
"365","Asia-Pacific","Kyrgyzstan","Ratification of Optional Protocol (OPCAT)","Yes",2008
"366","Asia-Pacific","Lao People's Democratic Republic","Ratification of Optional Protocol (OPCAT)","No",NA
"367","Asia-Pacific","Marshall Islands","Ratification of Optional Protocol (OPCAT)","No",NA
"368","Asia-Pacific","Malaysia","Ratification of Optional Protocol (OPCAT)","No",NA
"369","Asia-Pacific","Maldives","Ratification of Optional Protocol (OPCAT)","Yes",2006
"370","Asia-Pacific","Micronesia","Ratification of Optional Protocol (OPCAT)","No",NA
"371","Asia-Pacific","Mongolia","Ratification of Optional Protocol (OPCAT)","Yes",2015
"372","Asia-Pacific","Myanmar","Ratification of Optional Protocol (OPCAT)","No",NA
"373","Asia-Pacific","Nauru","Ratification of Optional Protocol (OPCAT)","Yes",2013
"374","Asia-Pacific","Nepal","Ratification of Optional Protocol (OPCAT)","No",NA
